,percent_best,percent_best,percent_best,percent_best,percent_best,percent_best,percent_best,avg_win,avg_win,avg_win,avg_win,avg_win,avg_win,avg_win,speed_ms,speed_ms,speed_ms,speed_ms,speed_ms,speed_ms,speed_ms
budget,6,12,18,24,50,100,200,6,12,18,24,50,100,200,6,12,18,24,50,100,200
optimizer,,,,,,,,,,,,,,,,,,,,,
ACT,32.432432432432435,53.153153153153156,71.17117117117117,76.57657657657657,84.68468468468468,89.1891891891892,95.4954954954955,9.277777777777779,10.322033898305085,12.987341772151899,12.976470588235294,13.76595744680851,13.777777777777779,13.330188679245284,29.258828828828825,67.00873873873874,102.6173873873874,140.1601801801802,298.8590990990991,594.6881081081082,1213.332162162162
DEHB,23.423423423423422,36.93693693693694,40.54054054054054,49.549549549549546,63.06306306306306,63.96396396396396,68.46846846846847,5.461538461538462,9.268292682926829,8.777777777777779,11.090909090909092,13.228571428571428,13.507042253521126,13.56578947368421,757.7264864864866,869.5512612612612,965.3000900900901,1019.6739639639641,1184.217027027027,1503.1308108108105,2053.1200900900903
KM++,36.93693693693694,42.34234234234234,54.95495495495496,61.261261261261254,81.08108108108108,89.1891891891892,93.69369369369369,9.390243902439025,8.212765957446809,9.885245901639344,10.323529411764707,14.011111111111111,14.030303030303031,14.057692307692308,7.127567567567567,29.21009009009009,65.02567567567567,113.12198198198197,464.25252252252255,1677.3025225225224,5573.050180180181
NSGAIII,28.82882882882883,41.44144144144144,49.549549549549546,60.36036036036037,76.57657657657657,82.88288288288288,93.69369369369369,7.5,9.695652173913043,11.0,12.447761194029852,13.8,13.195652173913043,14.14423076923077,133.1547747747748,299.57297297297305,476.0480180180181,624.1269369369371,1449.7086486486485,3233.0913513513515,7208.658738738739
RAND,35.13513513513514,44.14414414414414,47.74774774774775,55.85585585585585,78.37837837837837,87.38738738738738,93.69369369369369,10.794871794871796,8.571428571428571,8.245283018867925,10.17741935483871,14.057471264367816,14.030927835051546,14.365384615384615,0.04054054054054055,0.0681081081081081,0.08135135135135133,0.1025225225225225,0.19675675675675675,0.3988288288288289,0.7036036036036034
SMAC,28.82882882882883,38.73873873873874,51.35135135135135,64.86486486486487,80.18018018018019,87.38738738738738,92.7927927927928,9.875,8.511627906976743,11.280701754385966,12.48611111111111,13.112359550561798,13.597938144329897,13.941747572815533,3271.6533333333336,3722.7897297297295,4778.422162162162,6294.206306306307,11336.696846846846,19798.931351351355,33768.25216216216
TPE,27.927927927927925,41.44144144144144,52.25225225225225,58.55855855855856,80.18018018018019,85.58558558558559,86.48648648648648,7.483870967741935,9.282608695652174,10.948275862068966,12.815384615384616,13.820224719101123,13.821052631578947,13.541666666666666,114.9201801801802,214.82855855855854,355.3852252252253,515.5235135135135,1222.2129729729731,2588.659099099099,6463.527477477478
